session_id_encoded,trajectory,Churn
760453,"[1, 1, 1]",1
960830,"[1, 2, 2, 1, 1]",1
181374,[1],1
386861,"[1, 1, 1]",1
174895,"[1, 2, 1, 1, 1, 1, 2, 1]",1
783752,"[1, 2]",1
402587,[1],1
308360,"[2, 1]",1
358726,"[1, 1, 1, 1]",1
772535,"[1, 2]",1
160067,"[1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",1
280952,[1],1
420720,"[1, 1]",1
67263,"[1, 1, 1, 1, 1, 1, 1]",1
282640,"[2, 1]",1
897679,[1],1
715099,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1]",1
791372,"[1, 1, 1]",1
164712,"[1, 1]",1
523892,[1],1
384978,"[1, 2]",1
147014,[1],1
94231,"[2, 1, 2, 1]",1
302837,"[2, 1, 1]",1
84769,"[2, 1, 1, 2, 1, 2]",1
718601,"[1, 2]",1
580694,"[1, 1, 1]",1
532196,"[1, 2]",1
613974,"[1, 1, 1]",1
481085,"[2, 1]",1
41581,"[1, 1, 1, 1]",1
109561,"[1, 1, 1]",1
509344,"[1, 1, 1, 1, 2, 1, 1, 1]",1
113781,"[2, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1]",1
89265,"[2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1
634868,"[1, 1, 1, 1, 1, 2, 1, 1]",1
328814,"[1, 1, 2, 1]",1
943179,[1],1
158946,[1],1
871750,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1]",1
11412,"[2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
910554,"[1, 1, 1, 1, 2, 1, 1, 2]",1
779092,"[1, 2, 3, 1]",0
955576,"[2, 1, 2, 1, 1, 2]",1
893197,"[2, 1]",1
719210,"[1, 1, 1]",1
1021228,"[1, 1, 1, 1, 1, 1, 1, 2, 1]",1
44218,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",1
385375,"[2, 1]",1
191291,[1],1
713587,"[2, 1]",1
540635,"[1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
504836,[1],1
776428,"[1, 2]",1
148493,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1]",1
853306,[1],1
893856,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 3, 1, 1, 1, 1, 1, 1]",1
792115,[1],1
643762,"[1, 2, 2, 1]",1
703179,"[1, 2, 2, 1, 2, 1]",1
962853,"[1, 2]",1
500546,"[1, 1, 1, 1, 1, 2, 1]",1
544908,"[1, 2, 1, 1, 1, 2, 1, 1, 2]",1
796811,"[1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1]",1
250875,"[2, 1]",1
239269,"[1, 2]",1
555583,"[1, 1, 1]",1
4833,[1],1
429163,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
795981,"[2, 1]",1
144065,"[2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2]",1
530645,"[2, 1, 1, 2, 1, 1]",1
192428,"[1, 2, 1, 2]",1
778128,"[2, 1]",1
692163,"[1, 1]",1
67297,"[2, 1, 1, 2, 1, 2, 1, 2]",1
601954,"[1, 2, 1, 1, 2, 1]",1
666108,"[1, 1, 1]",1
183472,"[1, 2, 1, 1, 1, 2, 1, 1, 1]",1
1028146,[1],1
410301,"[2, 1]",1
799834,"[2, 1]",1
176588,"[1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1]",1
381516,"[1, 1, 2, 1]",1
580535,"[1, 2]",1
419085,"[1, 1, 1, 1]",1
65230,"[1, 2]",1
122660,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1]",1
404576,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",1
66299,"[1, 2]",1
916140,"[1, 2]",1
123292,"[1, 1, 1, 1, 2, 1, 2, 1]",1
718518,"[2, 1]",1
107410,[1],1
8755,"[1, 1, 1, 1, 2]",1
126586,"[1, 2]",1
848094,"[1, 1, 1, 2, 1, 1, 2]",1
229552,"[2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2]",1
118543,"[1, 2]",1
453221,[1],1
513262,[1],1
310451,"[1, 1, 1, 1, 1]",1
833851,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1
388345,[1],1
734970,[1],1
272441,"[1, 1, 1, 1]",1
912797,"[2, 1]",1
839669,"[1, 1, 1, 1, 2, 1, 2]",1
859203,"[1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 4, 3, 4, 1, 4, 4, 4, 1, 4, 1, 1, 2, 4, 1, 2, 1, 4, 1, 4, 4, 1, 1, 1, 1, 1, 2, 1, 3, 4, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 2, 4, 1, 4, 4, 1, 1, 2, 3, 4, 1, 4, 4, 4, 4, 4, 4]",0
599306,"[1, 2]",1
626919,"[2, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 2]",1
525202,[1],1
608967,"[1, 1, 1]",1
650112,"[1, 2, 1]",1
176001,"[2, 1, 2, 1]",1
510943,"[1, 1, 1, 1]",1
61139,"[1, 1, 1, 1, 1]",1
160646,"[1, 2, 1, 2, 1, 2]",1
543941,"[1, 1, 1, 1, 1, 1]",1
707336,"[1, 2, 1, 1, 2, 2, 1, 1, 2]",1
191894,"[2, 1]",1
2339,[1],1
408801,"[1, 1]",1
41879,[1],1
275053,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1]",1
555314,"[1, 2]",1
832832,"[1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1]",1
821443,"[1, 1, 2, 1, 1, 2]",1
97909,"[1, 2, 1, 2]",1
991179,[1],1
847656,[1],1
363921,"[2, 1]",1
1044669,"[1, 2]",1
510174,"[2, 1, 2, 1, 2, 1, 1, 1, 1]",1
853680,"[1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2]",1
200835,"[1, 2]",1
801804,"[1, 1]",1
892929,"[1, 1, 1, 1, 1]",1
313402,[1],1
461678,"[1, 2]",1
779262,"[2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, 2]",1
710997,"[1, 1]",1
271283,[1],1
898198,"[2, 1]",1
741399,"[2, 1, 2, 1, 2, 1, 1, 1, 1]",1
482803,[1],1
206316,"[1, 2, 1, 1, 2, 1, 1]",1
779240,"[2, 1]",1
721879,"[1, 1, 1, 1]",1
840484,"[1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1]",1
330348,"[2, 1]",1
6496,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2]",1
823627,"[1, 1, 1, 1, 2, 1, 2, 1]",1
178107,[1],1
312936,"[2, 1]",1
998320,"[1, 2]",1
195009,"[2, 1, 2, 1]",1
1004843,[1],1
148475,"[1, 2, 2, 1, 2, 1, 1, 2]",1
387472,"[1, 2]",1
920820,"[1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1]",1
1044904,"[1, 1, 1]",1
575112,"[1, 2]",1
931258,"[2, 1, 1, 2, 1]",1
894543,"[1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1]",1
366632,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1]",1
767035,"[1, 1, 2]",1
288899,"[2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2]",1
330453,"[1, 2, 1, 2]",1
878549,"[1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1]",1
701549,"[1, 2, 1]",1
800038,"[2, 1]",1
197998,[1],1
129572,"[1, 1]",1
202285,"[2, 1, 1, 1, 2, 1]",1
658118,"[1, 2]",1
45047,[1],1
230116,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",1
667031,"[2, 1]",1
544443,"[2, 1]",1
469263,"[1, 2]",1
908859,"[1, 1, 1]",1
634450,"[1, 1, 1, 1, 1, 2, 1, 2]",1
305940,"[1, 1, 2, 1, 1, 1, 1]",1
190276,"[1, 1, 2, 2, 1, 3, 1, 2, 1]",1
388089,"[1, 1, 1, 2, 1, 1, 2, 1, 1, 1]",1
207922,"[1, 1, 1, 2, 1, 1, 1, 1]",1
955549,[1],1
155262,"[1, 2, 2, 1, 1, 2, 1, 2]",1
338750,"[2, 1]",1
194226,"[2, 1]",1
957352,"[1, 1, 1, 1, 2, 2, 1]",1
158809,"[2, 1]",1
300483,[1],1
342118,"[1, 1, 1]",1
174112,"[1, 1, 2]",1
509417,"[2, 1]",1
243612,[1],1
103983,"[2, 1]",1
973017,"[2, 1]",1
588605,[1],1
894614,"[1, 1, 2, 1, 1]",1
946257,"[1, 2, 2, 1, 1, 2, 2, 1, 2, 1]",1
1042697,"[1, 1]",1
920880,"[1, 1, 2, 2, 1, 2, 1, 1, 2]",1
574620,"[2, 1]",1
687550,"[2, 1, 1, 2]",1
503887,"[1, 2]",1
388596,[1],1
674979,"[1, 1, 1, 1]",1
870399,[1],1
658714,"[1, 1, 1, 2, 1, 2, 1, 1]",1
884376,"[1, 2]",1
403116,"[2, 1, 1, 1, 1, 1, 1, 1]",1
562013,[1],1
596300,"[2, 1]",1
367619,"[2, 1]",1
392224,[1],1
81243,[1],1
403680,"[1, 2]",1
511784,"[1, 1, 1, 1, 1, 1, 1, 1]",1
366805,"[2, 1]",1
311807,"[1, 1, 2, 1]",1
443643,[1],1
318300,[1],1
634908,[1],1
59119,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
755429,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1]",1
466914,"[1, 1, 1]",1
564557,"[1, 2]",1
833043,[1],1
815347,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2]",1
133534,"[2, 1]",1
918268,"[2, 1]",1
382806,"[1, 2]",1
480693,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1]",1
475196,"[1, 2, 2, 1, 2, 1, 2, 1]",1
7178,"[1, 2]",1
133648,[1],1
635117,"[1, 2, 1, 2, 2, 1, 1, 2, 3, 4, 1, 1, 1, 1, 2]",1
247589,"[2, 1]",1
1025230,"[1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1]",1
293624,"[1, 1, 1, 1, 2, 3, 1, 2, 3, 1, 2, 1, 2, 3, 1, 2, 3, 1, 1, 1, 2, 1]",1
176014,"[1, 1]",1
86649,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
658289,"[2, 1]",1
632265,"[2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1]",1
933511,[1],1
45206,"[1, 2]",1
1005871,"[1, 2, 1, 1]",1
231955,"[1, 1, 1, 2, 1, 1, 1, 2, 2, 1]",1
849295,[1],1
37157,"[2, 1]",1
883064,"[1, 2, 1, 2, 1, 2]",1
780801,"[1, 2, 1, 2, 2, 1]",1
930876,"[1, 1]",1
995768,"[1, 1, 1, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 1, 3, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1]",0
647682,"[1, 2, 1, 1, 1, 2, 1]",1
773422,"[1, 2, 2, 1, 1, 2]",1
824039,"[1, 2]",1
5768,"[1, 1]",1
159896,"[1, 1]",1
226446,"[2, 1]",1
115405,[1],1
972141,"[2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2]",1
468484,"[1, 1, 1, 1, 1]",1
598033,"[1, 2, 1, 1, 2, 2, 1]",1
745433,"[1, 1, 1, 1, 2]",1
828821,[1],1
151885,"[1, 2, 2, 1, 1, 2, 2, 1]",1
954788,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
291903,"[1, 2, 2, 1, 2, 1, 2, 1, 1, 2]",1
420319,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1
142714,"[1, 2]",1
769068,"[1, 1, 1, 2, 1, 1]",1
945874,"[2, 1]",1
826060,"[1, 2, 1, 2, 1, 2, 1]",1
987712,"[2, 1, 2, 1]",1
70524,"[1, 1, 1, 1, 1]",1
358236,"[1, 1, 1]",1
604526,"[1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1]",1
36479,[1],1
506249,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
94336,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2]",1
690287,"[1, 2]",1
896011,[1],1
293247,"[1, 2, 1, 1, 1]",1
570501,"[2, 1]",1
1027053,"[1, 1]",1
1015376,"[1, 2]",1
250684,"[1, 1, 1, 1, 1, 1]",1
913030,"[2, 1, 2, 1]",1
380048,"[1, 2]",1
923918,"[1, 2, 1]",1
940173,"[1, 2, 1, 2]",1
1034117,"[1, 2, 1, 1, 1, 1, 2]",1
938019,"[1, 2, 1, 2]",1
505374,"[1, 1, 1, 1, 1, 1, 2, 1]",1
983219,"[1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1]",1
147181,"[1, 2, 2, 1]",1
103112,"[1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0
127376,"[2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1]",1
282151,"[2, 1]",1
612322,[1],1
290875,"[1, 1]",1
832016,"[1, 2]",1
24749,"[1, 2, 1]",1
389182,"[1, 2]",1
506091,"[2, 1, 2, 1]",1
465595,[1],1
176466,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",1
693732,"[1, 1, 1, 1, 1]",1
686579,[1],1
570269,"[1, 2, 2, 1]",1
798070,"[2, 1]",1
513640,"[2, 1]",1
500527,"[2, 1]",1
1035382,"[1, 2]",1
997858,"[2, 1, 1]",1
526586,"[1, 2, 1, 1, 1]",1
983878,"[2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1]",1
679228,"[1, 2]",1
21607,[1],1
379597,"[2, 1]",1
979610,"[1, 1, 2, 2, 1, 2, 1, 1]",1
347924,"[1, 1]",1
109863,"[1, 1, 1, 1]",1
185415,"[2, 1, 2, 1, 3]",1
382584,"[1, 2, 1, 2]",1
228371,"[1, 1, 1, 1, 2]",1
603367,"[2, 1, 1, 2]",1
593833,[1],1
282114,"[1, 2, 1, 2, 2, 1]",1
502388,"[1, 2]",1
315543,"[2, 1, 1, 2, 1]",1
130917,"[1, 2, 2, 1, 2, 1, 1, 2]",1
483559,"[1, 2]",1
915730,[1],1
383254,"[2, 1]",1
730653,"[1, 1, 2]",1
443516,"[1, 1, 1, 2, 1, 2, 1, 1, 2]",1
1026372,"[1, 1, 1, 1, 2, 1]",1
331207,[1],1
54519,[1],1
254513,[1],1
1031904,"[2, 1]",1
119279,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 3, 1, 1]",0
755670,"[1, 1, 2, 1, 1, 1]",1
600137,"[1, 2]",1
1041749,[1],1
162279,[1],1
384146,"[2, 1, 1, 1, 1, 1]",1
921466,"[1, 1, 1, 1]",1
37502,"[2, 1]",1
318411,[1],1
811201,"[2, 1]",1
668420,"[2, 1]",1
497598,"[2, 1, 2, 1, 2, 1]",1
938709,[1],1
998013,"[1, 2]",1
1012133,"[1, 1, 1, 2, 2, 1, 1, 2, 1]",1
213068,[1],1
288564,"[1, 2]",1
492721,"[1, 2]",1
196914,"[2, 1]",1
516834,[1],1
1045888,"[1, 1, 1, 2, 1]",1
197352,[1],1
924169,"[1, 1, 1, 1, 2, 1, 1]",1
850137,"[2, 1]",1
863524,"[2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2]",1
967257,[1],1
86947,[1],1
110772,[1],1
930363,"[2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",1
733780,[1],1
360717,"[1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1]",1
200332,"[1, 1, 1, 1]",1
542583,"[1, 1, 1, 1, 1, 1, 1, 1, 2]",1
698458,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
699993,"[1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
936530,"[1, 1, 1]",1
915801,"[2, 1]",1
566128,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",1
551995,"[2, 1]",1
241375,"[2, 1, 1, 2, 2, 1]",1
403347,"[2, 1, 1, 2]",1
70488,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1]",1
879863,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1
781367,"[1, 2, 1, 1, 2, 1, 1, 2, 1]",1
929335,"[2, 1, 1, 2, 1, 2, 1, 2]",1
671152,[1],1
263127,"[2, 1]",1
771968,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1]",1
23497,"[1, 2, 1, 2]",1
550060,"[2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 2, 1]",1
753792,"[1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2]",1
26933,"[2, 1, 3, 1, 1, 1, 1, 1, 1, 1]",1
864900,"[1, 2]",1
57974,"[2, 1]",1
968347,[1],1
113155,"[2, 1]",1
752288,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2]",1
400377,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",1
398531,"[1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1]",1
860056,"[1, 1, 2, 1, 1]",1
440092,[1],1
781479,"[1, 2]",1
991830,"[1, 2]",1
995527,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",1
281796,"[1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1]",1
407755,"[1, 1, 1, 1, 2, 1]",1
252087,"[2, 1]",1
734705,"[2, 1, 2, 1, 2, 1]",1
694689,"[1, 2]",1
59493,"[1, 2]",1
214720,"[1, 1, 2, 1, 1, 2, 1, 2, 1]",1
156805,"[1, 2]",1
654836,"[1, 2]",1
255945,[1],1
240067,[1],1
885714,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1]",1
1021164,[1],1
343066,"[1, 2]",1
1015868,"[1, 2, 1, 2]",1
484057,"[1, 1, 1]",1
325335,"[2, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 1]",1
146079,[1],1
880656,"[1, 1, 1, 1, 1, 1]",1
923810,"[1, 1, 1, 1, 1, 2]",1
38270,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1]",1
943707,"[1, 1, 1]",1
660357,"[1, 2]",1
108607,"[1, 1, 2, 1, 2, 1, 1, 1]",1
143757,"[1, 1, 1, 1, 1, 1]",1
878016,"[2, 1]",1
502685,"[1, 1, 1]",1
971777,[1],1
514051,[1],1
811873,"[1, 1]",1
181373,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",1
608260,[1],1
519829,[1],1
731667,"[1, 2]",1
710703,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",1
576324,"[1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2]",1
723751,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 3, 2, 1, 3, 3, 1, 1, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1]",1
177843,"[1, 2]",1
977228,"[1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 4, 1, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1]",1
915337,"[1, 2]",1
435656,[1],1
280790,"[2, 1]",1
